position,player,x,y,cluster,league,age,dominant_foot
DF,Romain Saïss,-8.001788,2.6379986,0,Premier League,31,89% left footed
DF,Mamadou Sakho,-16.30737,5.9868574,0,Ligue 1,31,82% left footed
DF,William Saliba,-9.941783,16.44008,3,Ligue 1,20,95% right footed
DF,Mohammed Salisu,-8.545566,-7.016295,0,Premier League,22,92% left footed
DF,Yoann Salmier,-12.003418,0.4710232,0,Ligue 1,28,81% right footed
DF,Junior Sambia,23.345808,3.3373315,1,Ligue 1,24,82% right footed
DF,Davinson Sánchez,-7.1643763,2.9063408,3,Premier League,25,88% right footed
DF,Germán Sánchez,-21.708178,-2.574376,0,La Liga,34,89% right footed
DF,Manuel Sánchez,9.834164,-11.654,2,La Liga,20,84% left footed
DF,Alex Sandro,19.976913,-0.98517644,1,Serie A,30,89% left footed
DF,Baptiste Santamaria,1.0824347,1.4531447,2,Ligue 1,26,93% right footed
DF,Samir Santos,-1.8827271,-7.1639104,0,Serie A,26,82% left footed
DF,Esteban Saveljich,-22.954512,-0.33674556,0,La Liga,30,87% right footed
DF,Stefan Savić,-15.698632,9.886826,3,La Liga,30,92% right footed
DF,Joe Scally,13.447102,-3.7857108,2,Bundesliga,18,78% right footed
DF,Fabian Schär,-19.966118,4.8871694,0,Premier League,29,86% right footed
DF,Nico Schlotterbeck,-6.4734564,4.3887634,3,Bundesliga,21,85% left footed
DF,Benno Schmitz,22.974852,-11.969326,1,Bundesliga,26,84% right footed
DF,Alidu Seidu,-4.365757,-7.390586,0,Ligue 1,21,81% right footed
DF,Nélson Semedo,13.999021,-5.27216,2,Premier League,27,82% right footed
DF,Ryan Sessegnon,18.500975,5.6161623,1,Premier League,21,82% left footed
DF,Stephan El Shaarawy,32.65883,-0.33787647,1,Serie A,28,93% right footed
DF,Luke Shaw,30.043364,-8.044651,1,Premier League,26,94% left footed
DF,Djibril Sidibé,18.576654,-8.723553,2,Ligue 1,29,91% right footed
DF,Caio Henrique Oliveira Silva,29.48887,-7.7936935,1,Ligue 1,24,91% left footed
DF,Thiago Silva,-9.548998,16.182425,3,Premier League,36,91% right footed
DF,Mohamed Simakan,-6.2870812,6.9742985,3,Bundesliga,21,90% right footed
DF,Wilfried Singo,23.991745,3.0406523,1,Serie A,20,91% right footed
DF,Ibrahima Sissoko,27.69357,1.9477519,1,Ligue 1,23,79% right footed
DF,Leo Skiri Østigård,-19.20115,-9.199206,0,Serie A,21,80% right footed
DF,Milan Škriniar,-20.389883,8.843403,3,Serie A,26,87% right footed
DF,Chris Smalling,-18.502163,-0.032047603,0,Serie A,31,89% right footed
DF,Cédric Soares,19.661402,-2.7011292,2,Premier League,29,89% right footed
DF,Danilo Soares,4.6916637,-11.452213,2,Bundesliga,29,72% left footed
DF,Son,15.521293,3.2863245,2,La Liga,27,83% right footed
DF,Borna Sosa,31.090986,-6.3595796,1,Bundesliga,23,94% left footed
DF,Adama Soumaoro,-23.173647,1.7288666,0,Serie A,29,93% right footed
DF,Arnaud Souquet,11.712877,-2.9849665,2,Ligue 1,29,89% right footed
DF,Saidou Sow,-6.938048,-1.1810693,0,Ligue 1,19,90% right footed
DF,Çağlar Söyüncü,-11.660951,6.621069,0,Premier League,25,76% right footed
DF,Kostas Stafylidis,9.15611,-6.2620363,2,Bundesliga,27,76% left footed
